0.98872,2.12998,0.89313,0.02158,0.54244,0.00968,0.33469,0.98872,2.01678,0.89313,0.02158,0.58648,0.00968,0.33469
0.98849,2.16655,0.90119,0.02176,0.6423,0.01071,0.3324,0.98849,2.07784,0.90119,0.02176,0.70165,0.01071,0.3324
0.98888,2.07659,0.88776,0.02068,0.76745,0.01003,0.33261,0.98888,1.99463,0.88776,0.02068,0.80856,0.01003,0.33261
0.98836,2.02824,0.89111,0.02178,0.65479,0.01219,0.33304,0.98836,1.93899,0.89111,0.02178,0.70201,0.01219,0.33304
0.98857,2.0604,0.89055,0.02235,0.59693,0.01064,0.33374,0.98857,1.96626,0.89055,0.02235,0.64573,0.01064,0.33374
0.98878,2.13589,0.88515,0.02193,0.61923,0.01163,0.33355,0.98878,2.04783,0.88515,0.02193,0.66419,0.01163,0.33355
0.98893,2.10944,0.89319,0.02187,0.62693,0.01168,0.33384,0.98893,2.03313,0.89319,0.02187,0.66208,0.01168,0.33384
0.98911,2.20523,0.89313,0.02188,0.66183,0.01195,0.33482,0.98911,2.12469,0.89313,0.02188,0.69963,0.01195,0.33482
0.98867,1.99618,0.88741,0.02116,0.66745,0.01197,0.33432,0.98867,1.91494,0.88741,0.02116,0.70215,0.01197,0.33432
0.98894,2.11154,0.89538,0.02275,0.67562,0.01265,0.33511,0.98894,2.01974,0.89538,0.02275,0.71353,0.01265,0.33511
0.98907,2.11056,0.87246,0.02315,0.64642,0.01217,0.33432,0.98907,1.9771,0.87246,0.02315,0.6538,0.01217,0.33432
0.98888,2.12725,0.90666,0.0213,0.60098,0.01179,0.33598,0.98888,2.03012,0.90666,0.0213,0.6404,0.01179,0.33598
0.98879,2.17994,0.89426,0.0215,0.69009,0.01079,0.33388,0.98879,2.08423,0.89426,0.0215,0.72304,0.01079,0.33388
0.98908,2.08025,0.8995,0.0221,0.57178,0.01088,0.33551,0.98908,1.99565,0.8995,0.0221,0.61174,0.01088,0.33551
0.98878,2.09305,0.90043,0.02136,0.63322,0.01147,0.33389,0.98878,1.9904,0.90043,0.02136,0.6688,0.01147,0.33389
0.98919,2.10619,0.89592,0.0202,0.4848,0.01108,0.33429,0.98919,2.01024,0.89592,0.0202,0.53556,0.01108,0.33429
0.98876,2.14202,0.88235,0.02182,0.64792,0.01093,0.33402,0.98876,2.06261,0.88235,0.02182,0.66863,0.01093,0.33402
0.98864,2.10753,0.89223,0.0201,0.68585,0.01194,0.33554,0.98864,2.01141,0.89223,0.0201,0.72029,0.01194,0.33554
0.98856,2.07408,0.8969,0.02254,0.68769,0.01144,0.3341,0.98856,1.98466,0.8969,0.02254,0.73616,0.01144,0.3341
0.98867,2.06505,0.89934,0.02236,0.63634,0.01031,0.33392,0.98867,1.98613,0.89934,0.02236,0.68551,0.01031,0.33392
0.98874,2.09134,0.90021,0.02399,0.6316,0.01163,0.3324,0.98874,2.01241,0.90021,0.02399,0.67552,0.01163,0.3324
0.98893,2.06413,0.8913,0.01897,0.61877,0.01015,0.33511,0.98893,1.96169,0.8913,0.01897,0.65534,0.01015,0.33511
0.98882,2.12555,0.89351,0.02152,0.45655,0.01022,0.3335,0.98882,2.03571,0.89351,0.02152,0.51257,0.01022,0.3335
0.98841,2.10058,0.8987,0.02332,0.67358,0.01201,0.33179,0.98841,2.00938,0.8987,0.02332,0.70866,0.01201,0.33179
0.98873,2.11226,0.89137,0.02225,0.65055,0.00969,0.33381,0.98873,2.02192,0.89137,0.02225,0.69838,0.00969,0.33381
