Date,Open,High,Low,Close,Adj Close,Volume
2022-08-29,49.799999,49.810001,49.796001,49.799999,47.903660,27700
2022-08-30,49.799999,49.810001,49.799999,49.810001,47.913277,12000
2022-08-31,49.820000,49.820000,49.805000,49.810001,47.913277,23800
2022-09-01,49.820000,49.820000,49.810001,49.820000,47.922905,119400
2022-09-02,49.820000,49.830002,49.820000,49.830002,47.932518,41100
2022-09-06,49.828999,49.840000,49.820000,49.840000,47.942135,32000
2022-09-07,49.849998,49.849998,49.830002,49.840000,47.942135,24800
2022-09-08,49.849998,49.860001,49.840000,49.849998,47.951748,127300
2022-09-09,49.849998,49.849998,49.845001,49.849998,47.951748,59400
2022-09-12,49.860001,49.860001,49.849998,49.860001,47.961376,76400
2022-09-13,49.860001,49.990002,49.830002,49.860001,47.961376,51900
2022-09-14,49.860001,49.869999,49.854000,49.860001,47.961376,48200
2022-09-15,49.889999,49.889999,49.865002,49.880001,47.980614,43500
2022-09-16,49.880001,49.900002,49.870998,49.889999,47.990227,36100
2022-09-19,49.900002,49.900002,49.880001,49.900002,47.999855,161400
2022-09-20,49.894001,49.904999,49.886002,49.900002,47.999855,14400
2022-09-21,49.919998,49.919998,49.880001,49.910000,48.009472,32100
2022-09-22,49.919998,49.919998,49.900002,49.919998,48.019089,145000
2022-09-23,49.930000,49.930000,49.910000,49.924999,48.023891,141700
2022-09-26,49.939999,49.939999,49.912998,49.930000,48.028709,87300
2022-09-27,49.919998,49.939999,49.919998,49.939999,48.038326,65800
2022-09-28,49.950001,49.950001,49.930000,49.950001,48.047947,36200
2022-09-29,50.000000,50.000000,49.950001,49.970001,48.067192,112200
2022-09-30,49.970001,49.970001,49.950001,49.970001,48.067192,70900
2022-10-03,49.910000,49.910000,49.895000,49.910000,48.114426,83600
2022-10-04,49.889999,49.889999,49.854000,49.880001,48.085506,156000
2022-10-05,49.880001,49.889999,49.860001,49.860001,48.066227,511700
2022-10-06,49.849998,49.880001,49.849998,49.869999,48.075855,62600
2022-10-07,49.860001,49.900002,49.860001,49.900002,48.104786,65100
2022-10-10,49.930000,49.930000,49.900002,49.910000,48.114426,37200
2022-10-11,49.900002,49.910000,49.900002,49.910000,48.114426,762600
2022-10-12,49.910000,49.910000,49.889999,49.900002,48.104786,123300
2022-10-13,49.919998,49.919998,49.900002,49.910000,48.114426,98400
2022-10-14,49.910000,49.910000,49.900002,49.910000,48.114426,25400
