Date,AAPLrets,AAPLclose,GOOGrets,GOOGclose,IBMrets,IBMclose,SPYrets,SPYclose,TBILrets,TBILclose,TSLArets,TSLAclose
2022-08-30,-1.5423799582426234,157.972855,-0.39045861184767716,109.910004,-0.5617839736167696,123.37793,-1.1038488781463407,391.811798,0.020073695389122292,47.913277,-2.531598884335473,277.700012
2022-08-31,-1.0691940990304794,156.292816,-0.6938784154860045,109.150002,-0.8758711415837617,122.302017,-0.7638165643063743,388.830475,0.0,47.913277,-0.7554668998099423,275.609985
2022-09-01,0.46957765897577275,157.028458,1.2744833121136168,110.550003,0.9375908477343486,123.454102,0.3132940540617746,390.050568,0.020092620201417333,47.922905,0.5608202664524775,277.160004
2022-09-02,-1.3704676790416315,154.891113,-1.706014988234994,108.68,-1.4527336143630443,121.673607,-1.060032077390538,385.937744,0.02005728988798694,47.932518,-2.539557003494508,270.209991
2022-09-06,-0.824902349162393,153.618668,-1.1102972898687113,107.480003,-0.8408340716317575,120.654823,-0.3780382523653536,384.481506,0.020061611137700552,47.942135,1.5460425709335368,274.420013
2022-09-07,0.9211326992110358,155.040237,2.7529724595812155,110.480003,0.7782109152847383,121.597435,1.7805423325317093,391.388672,0.0,47.942135,3.325755724733881,283.700012
2022-09-08,-0.9664271654649781,153.549103,-0.9640865897786455,109.419998,0.5933294591854654,122.321053,0.6515168662022397,393.94696,0.020049245544084826,47.951748,1.9408588103552837,289.26001
2022-09-09,1.8664449724273169,156.441925,2.133897453792244,111.779999,0.5588834188344549,123.006599,1.5415794627701374,400.067017,0.0,47.951748,3.5389243120969915,299.679993
2022-09-12,3.7784946787428275,162.466171,0.08048647802718634,111.870003,1.1314295288073595,124.406235,1.0690212348050565,404.36676,0.020076501798316215,47.961376,1.5693154218149097,304.420013
2022-09-13,-6.047159128149016,152.932739,-6.042914727472315,105.309998,-2.6444877691853996,121.159447,-4.445613586046271,386.783905,0.0,47.961376,-4.120944376683244,292.130005
2022-09-14,0.9510039193544984,154.394073,0.5303592290970549,105.870003,0.34518344375884524,121.578392,0.3808620657531847,388.259827,0.0,47.961376,3.524587237725463,302.609985
2022-09-15,-1.9111487316670228,151.47139,-1.8783037337467334,103.900002,-1.737939641134112,119.483688,-1.1418213888537032,383.851807,0.040103400519075905,47.980614,0.3760196488657108,303.75
2022-09-16,-1.1020600509803913,149.811249,-0.2602083107480446,103.629997,1.4084722674837735,121.17849,-0.7658172404999775,380.923431,0.020033168266442303,47.990227,-0.13177204873180415,303.350006
2022-09-19,2.4773516166563425,153.568954,0.21206968165952134,103.849998,0.3607953363317762,121.616486,0.7724951155649862,383.877441,0.020060405891308974,47.999855,1.8680536940044234,309.070007
2022-09-20,1.5544143132884436,155.974701,-1.964275523942316,101.830002,-1.1258704774944839,120.254921,-1.1544896478302036,379.4711,0.0,47.999855,-0.1100666961536767,308.730011
2022-09-21,-2.0475852619165735,152.813461,-1.8034574837726858,100.010002,-1.0906517141391348,118.950485,-1.7597811022962873,372.851654,0.020033470356839445,48.009472,-2.6021591963880653,300.799988
2022-09-22,-0.6395684922976486,151.839233,0.5583801469963845,100.57,0.30371865624738703,119.312309,-0.8435241090762879,369.719788,0.020029457761294722,48.019089,-4.143857033776666,288.589996
2022-09-23,-1.5239436696828257,149.542831,-1.4018473425744027,99.169998,-2.0966873566181654,116.836746,-1.6896746414895247,363.525208,0.00999968973056653,48.023891,-4.703665081831598,275.329987
2022-09-26,0.22578583785630713,149.880859,-0.36367350646395735,98.809998,-0.5720770674262354,116.170258,-0.9942061171992478,359.928925,0.010032003306648107,48.028709,0.24668021494358428,276.01001
2022-09-27,0.6544725169418619,150.865005,-0.7313410168658052,98.089996,-0.22154196842869567,115.913177,-0.25558869082766833,359.010162,0.02002143614010521,48.038326,2.479773492400472,282.940002
2022-09-28,-1.2732261304851278,148.956329,2.6657536667070048,100.739998,0.8343641797316614,116.884361,1.9485235869209028,366.074158,0.020025753381380795,48.047947,1.7065665152806275,287.809998
2022-09-29,-5.03663774229306,141.63974,-2.6657536667070048,98.089996,-0.9247623117974335,115.808441,-2.1110230946887576,358.427246,0.040045721116177546,48.067192,-7.053031104778462,268.209991
2022-09-30,-3.049985011668177,137.384964,-1.997589096172625,96.150002,-2.3458011489534414,113.123421,-1.5584310564456416,352.884705,0.0,48.067192,-1.1097444710354232,265.25
2022-10-03,3.0289216139089525,141.609909,3.2236108426985766,99.300003,2.247091244673971,115.694183,2.605872920253738,362.201294,0.09821835976424609,48.114426,-9.008354805140861,242.399994
2022-10-04,2.530028998893208,145.238388,3.0838801883424694,102.410004,3.230919331519466,119.49321,3.0516214242539696,373.424683,-0.06012478443584435,48.085506,2.8629183884743448,249.440002
2022-10-05,0.2051194983844873,145.536606,-0.18570400230766282,102.220001,0.19104833583254432,119.721718,-0.23309376978497554,372.555267,-0.040101201833486755,48.066227,-3.521018082113425,240.809998
2022-10-06,-0.664762364359639,144.572342,0.019560794445450114,102.239998,-2.8311653792306046,116.37973,-1.0369361389344967,368.712067,0.020028690521156634,48.075855,-1.1191468473506383,238.130005
2022-10-07,-3.740975549830683,139.26384,-2.646205666741608,99.57,-2.8294906746306303,113.132927,-2.8290333793425937,358.427246,0.06015971732304948,48.104786,-6.533110910381179,223.070007
2022-10-10,0.23527088456081202,139.591873,-0.8674666100882078,98.709999,-0.9045914878176298,112.114151,-0.7664669678744573,355.690521,0.02003757842512499,48.114426,-0.04932403595159229,222.960007
