Date,Open,High,Low,Close,Adj Close,Volume
2022-08-29,129.990005,131.419998,129.570007,130.309998,124.072998,2783000
2022-08-30,130.559998,130.770004,129.289993,129.580002,123.377930,2407900
2022-08-31,129.919998,130.000000,128.399994,128.449997,122.302017,3490400
2022-09-01,128.399994,129.820007,127.739998,129.660004,123.454102,3396200
2022-09-02,130.300003,130.559998,127.239998,127.790001,121.673607,3040600
2022-09-06,127.800003,128.059998,126.300003,126.720001,120.654823,3347100
2022-09-07,126.690002,127.870003,126.279999,127.709999,121.597435,2401500
2022-09-08,127.199997,128.539993,126.589996,128.470001,122.321053,2964600
2022-09-09,128.899994,129.490005,128.059998,129.190002,123.006599,3291900
2022-09-12,130.330002,130.990005,129.889999,130.660004,124.406235,3741100
2022-09-13,129.139999,129.910004,126.769997,127.250000,121.159447,4565600
2022-09-14,127.500000,129.000000,126.849998,127.690002,121.578392,3819100
2022-09-15,127.389999,127.470001,124.900002,125.489998,119.483688,5141700
2022-09-16,124.360001,127.529999,123.830002,127.269997,121.178490,9839700
2022-09-19,126.489998,128.059998,126.279999,127.730003,121.616486,3981600
2022-09-20,126.900002,126.989998,125.519997,126.300003,120.254921,2837500
2022-09-21,126.889999,127.839996,124.919998,124.930000,118.950485,3389500
2022-09-22,124.760002,126.510002,124.410004,125.309998,119.312309,4046600
2022-09-23,124.529999,125.000000,121.739998,122.709999,116.836746,5195600
2022-09-26,122.300003,124.260002,121.750000,122.010002,116.170258,3987800
2022-09-27,122.599998,123.949997,121.080002,121.739998,115.913177,4117200
2022-09-28,121.650002,123.230003,119.809998,122.760002,116.884361,4996400
2022-09-29,121.849998,122.620003,120.570000,121.629997,115.808441,3817700
2022-09-30,121.660004,122.430000,118.610001,118.809998,113.123421,5346100
2022-10-03,120.160004,122.209999,119.599998,121.510002,115.694183,4261700
2022-10-04,122.800003,125.650002,122.519997,125.500000,119.493210,4566100
2022-10-05,124.709999,126.459999,124.230003,125.739998,119.721718,3212900
2022-10-06,124.879997,125.300003,121.769997,122.230003,116.379730,5074600
2022-10-07,121.500000,121.800003,118.070000,118.820000,113.132927,4499700
2022-10-10,119.790001,119.959999,117.040001,117.750000,112.114151,5990000
2022-10-11,117.459999,119.230003,116.940002,117.800003,112.161758,4043100
2022-10-12,118.000000,118.809998,117.199997,117.570000,111.942757,3338800
2022-10-13,116.099998,122.150002,115.550003,121.790001,115.960777,5837500
2022-10-14,121.800003,122.540001,119.839996,120.040001,114.294540,3762400
2022-10-17,121.800003,122.879997,121.430000,121.519997,115.703712,5458600
2022-10-18,123.000000,123.940002,121.820000,122.940002,117.055740,5120300
2022-10-19,122.360001,123.940002,121.989998,122.510002,116.646324,5906600
2022-10-20,126.250000,128.960007,125.150002,128.300003,122.159195,13623100
2022-10-21,128.389999,130.850006,127.589996,129.899994,123.682610,7201300
