Date,rets,rv,bv
2013-12-17,-0.31001518843591924,0.2054250897806046,0.1342621655250588
2013-12-18,1.6367105072380816,1.4243023744307497,0.9973809687227646
2013-12-19,-0.05083013452349405,0.12111636831032713,0.13659995701123184
2013-12-20,0.5549676000826231,0.15159759719257607,0.09084113017918571
2013-12-23,0.47098129395442,0.11728363406192034,0.058699284573346285
2013-12-24,0.2824004258341617,0.015854609729140063,0.01056040013155994
2013-12-26,0.47234070165185216,0.043224660840210434,0.023910035350284162
2013-12-27,-0.04018179601530392,0.04348863655224343,0.05557501454018619
2013-12-30,-0.014664946730036377,0.03338685581438562,0.03120888157437097
2013-12-31,0.36706242501045594,0.08685152130171357,0.06822062884381766
2014-01-02,-0.8511244740704527,0.4243363010455983,0.30151772140156685
2014-01-03,-0.034392682886341674,0.1708956947153033,0.1514624773036983
2014-01-06,-0.26461839885500993,0.23213612740573863,0.20484672097899662
2014-01-07,0.61127887192578,0.19132082923576602,0.1226684137403151
2014-01-08,-0.027753969403931933,0.2167707802317974,0.2110221416144608
2014-01-09,0.04625233724775413,0.21170222185581072,0.10157363845245636
2014-01-10,0.23202686053025445,0.2128327732998149,0.12636545967815302
2014-01-13,-1.284786174072572,0.24983493785790814,0.2328860422275289
2014-01-14,1.080500450834876,0.22859099296473914,0.19709760812313165
2014-01-15,0.5277887215466848,0.19126231462423318,0.12395619897872216
2014-01-16,-0.13805165323530488,0.14416642257845014,0.12796236105692757
2014-01-17,-0.4017028895889396,0.1142773590743199,0.07631127387436755
2014-01-21,0.2867852706976315,0.3789634676285531,0.2461162933230049
2014-01-22,0.06343784524087681,0.10529412390487684,0.09067111983069442
2014-01-23,-0.8748609729698487,0.6573026711869738,0.3382831206392277
2014-01-24,-2.1097619107420584,0.8296410585020674,0.5260543655320804
2014-01-27,-0.5094881997566247,0.730343534039958,0.7854100790332124
2014-01-28,0.6094014119610414,0.23419987453043453,0.23430572276241712
2014-01-29,-1.0177420152407635,1.1913113557761779,0.7668618484529058
2014-01-30,1.1130966888499572,0.6846092053359292,0.2497239015838359
2014-01-31,-0.6576175085068137,1.5106079575982239,0.6211242758365088
2014-02-03,-2.295559537308911,1.0548680849835468,0.9422987228119512
2014-02-04,0.7497868989880807,0.5753706572608865,0.6248700964125958
2014-02-05,-0.18649220512640952,0.5822386446608032,0.8973058778806735
2014-02-06,1.2091304764449973,0.3928576416847189,0.22533321863331499
2014-02-07,1.3177694808685025,0.5040129094835822,0.30555524109531207
2014-02-10,0.16906362819861798,0.10345667653619324,0.09515219503290913
2014-02-11,1.0892529146000918,0.18008929925037084,0.1519442062034626
2014-02-12,-0.013192249572480108,0.19448880382222086,0.22365253618045716
2014-02-13,0.5744464565301755,0.21366648452010228,0.13493971260414692
2014-02-14,0.4852631574094879,0.10344714091142716,0.16336569937403483
2014-02-18,0.13860317418776802,0.12317965247818358,0.13239027079945886
2014-02-19,-0.6730692454023135,0.33312231886419214,0.24019918368831045
2014-02-20,0.6051505170553639,0.24201705832064604,0.22691360197098798
2014-02-21,-0.18224999400224817,0.17699104615153144,0.15424693895747627
2014-02-24,0.6026044152690702,0.4118614141235939,0.2151710798766322
2014-02-25,-0.1218564573580494,0.2691194248129906,0.26225525258799265
2014-02-26,-0.002167680960774021,0.29130170129968397,0.22521438973919797
2014-02-27,0.4789975098778321,0.22130425829436312,0.23243826658949535
2014-02-28,0.2633883805915893,0.3874951894962713,0.3611357514243325
2014-03-03,-0.7207111950495282,0.5762554066755115,0.5613289331663893
2014-03-04,1.501402132530405,0.9597525009262396,0.23622597335438672
2014-03-05,0.02668317481573368,0.11816251108237533,0.14727625404964018
2014-03-06,0.17965912257373873,0.21291693702364506,0.11464469550770437
2014-03-07,0.014380097969191041,0.279436297321416,0.26816270242883766
2014-03-10,-0.029294976653648774,0.22010725314864912,0.1453385512276779
2014-03-11,-0.5052215077627764,0.23720971226525653,0.24551981882227047
2014-03-12,0.025696481864834197,0.39045640050530617,0.34060731797272176
2014-03-13,-1.1672613902324436,0.5189916232786633,0.48075079656663067
2014-03-14,-0.29287044612757995,0.44823426834247315,0.49130354141451144
2014-03-17,0.9444053639771077,0.8489139113895869,0.41791221264747036
2014-03-18,0.7231976452237276,0.23262438513667863,0.22486728679251328
2014-03-19,-0.5968375775439405,0.7566331005869795,0.29611850170622334
2014-03-20,0.5968375775439405,0.3108475927774854,0.2351658797548455
2014-03-21,-0.33119611223311196,0.46447475269857363,0.37625865109635576
2014-03-24,-0.45174206710392184,0.42396809244117256,0.46359789650008637
2014-03-25,0.44370268484570374,0.470214507495693,0.3107705109137041
2014-03-26,-0.6981338023071437,0.49946415852900616,0.2811249868344302
2014-03-27,-0.20152419571921598,0.681139288393934,0.7018280274843085
2014-03-28,0.45110992155095175,0.544423210970027,0.3077786050403056
2014-03-31,0.8032731622593658,0.6088959598057707,0.24173243030642225
2014-04-01,0.7025154360117192,0.17511971355323153,0.1310219123804349
2014-04-02,0.2875627218257293,0.1640016129398738,0.12729353889012793
2014-04-03,-0.10476136005026504,0.14871944472819007,0.12696870604024713
2014-04-04,-1.2695251493512139,0.7136362234255461,0.5353849887077813
2014-04-07,-1.0921588188973708,0.5997230785886938,0.551169380067854
2014-04-08,0.39003909260602043,0.489663477626643,0.40023911493061376
2014-04-09,1.0724409693427361,0.34283045703618054,0.24554876398649148
2014-04-10,-2.103579354868046,0.9007866674500756,0.7081055509343482
2014-04-11,-0.9482172893447327,0.8151694225559178,0.8439800933728702
2014-04-14,0.8035520004285424,0.7603661036283837,0.42607001249108706
